,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
0,378985,1,1,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,378993,1,22,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,378993,4,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379006,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379011,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379012,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379028,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379031,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379058,1,16,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379075,1,22,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,379075,5,16,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379154,1,22,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,379154,15,16,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379238,1,22,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379243,1,22,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379252,1,22,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379253,1,22,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379338,1,22,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379355,1,29,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379416,1,4,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,379416,6,6,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
2,379416,154,4,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379420,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,379420,2,4,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379425,1,4,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379433,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,379433,5,4,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379442,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,379442,9,4,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379454,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,379454,2,4,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379456,1,4,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379470,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,379470,8,4,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379530,1,4,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,379530,451,6,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
2,379530,483,4,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
3,379530,610,6,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
4,379530,622,4,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379613,1,4,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379617,1,4,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379618,1,4,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,379660,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
